id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
3014291,8142774115435,"Phân biệt hàng thật/giảMáy tính CASIO FX-580VN X là sản phẩm thuộc dòng máy ClassWiz sở hữu màn hình có độ phân giải cao vượt trội, giúp người dùng có thể dễ dàng xem các công thức và biểu tượng toá...",713800,784000,,70200.0,9.0,5522.0,,available,,1000,1000,Máy Tính Khoa Học Casio FX-580VN X,26150.0,Casio
204083235,8825285835826,"Trong Cái Không Có Gì Không?Thiền sư Thích Nhất Hạnh đã giải đáp được những câu hỏi khó, ngộ nghĩnh và chân thành của các em nhỏ trong mọi lứa tuổi.Vui tươi mà sâu sắc, “Trong cái KHÔng có cái gì kh...",144000,160000,,16000.0,10.0,,,available,,1000,1000,Trong Cái Không Có Gì Không?,,
271960042,5939913959837,“Lãnh đạo có nghĩa là trao quyền kiểm soát thay vì nắm quyền kiểm soát và tạo ra những người lãnh đạo thay vì rèn giũa những người theo sau.” - David MarquetCuốn sách Xoay chuyển con tàu được xuất bả...,299000,299000,,,,,,available,,1000,1000,Xoay chuyển con tàu - Turn the Ship Around,,
273046888,4264144877182,Rất ít người trong chúng ta nhận ra rằng ngôn ngữ (phong cách giao tiếp) của mình ở nơi làm việc cản trở khả năng giải quyết vấn đề một cách sáng tạo và đôi khi làm gia tăng sự bất ổn và căng thẳng gi...,349000,349000,,,,3.0,,available,,1000,1000,Lãnh đạo là ngôn ngữ - Leadership is language,,
23416722,6101272032509,"Truyền thông ngập tràn những khám phá và những lời khuyên mới mẻ về những thứ chúng ta nạp vào cơ thể nhưng có cơ sở khoa học nào cho bất kỳ tuyên bố đó không?Với những hình minh họa rõ ràng, dễ hiểu...",210000,300000,,90000.0,30.0,1008.0,,available,,1000,1000,How The Body Works - Hiểu Hết Về Cơ Thể,,
74021317,5977911599303,“Vị chua chát của cái nghèo hòa trộn với vị ngọt ngào khi khám phá ra những điều khiến cuộc đời này đáng số một tác phẩm kinh điển của Brazil.”- Booklist“Một cách nhìn cuộc sống gần như hoàn chỉnh t...,75600,108000,,32400.0,30.0,13213.0,,available,,1000,1000,Cây Cam Ngọt Của Tôi,,
188940817,8460723711989,"Không có gì là ngẫu nhiên. Mọi chuyện đều là tất nhiên. Một cuốn sách tâm linh giúp bạn giải quyết những vấn đề trong cuộc sống, công việc, tình cảm… Nếu bạn đang phân vân trước những lựa chọn, nếu bạ...",51350,79000,,27650.0,35.0,1146.0,,available,,1000,1000,Vị Thần Của Những Quyết Định,,
189643105,7150413107642,"SÓI VÀ CỪU - BẠN KHÔNG TỐT NHƯ BẠN NGHĨ ĐÂU! Làn ranh của việc ngây thơ hay xấu xa đôi khi mỏng manh hơn bạn nghĩ. Bạn làm một việc mà mình cho là đúng, kết quả lại bị mọi người khiển trách. Bạn ủn...",76800,128000,,51200.0,40.0,1396.0,,available,,1000,1000,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,,
26114399,6851692325469,"Sai lầm lớn nhất của chúng ta là đem những tật xấu, những cảm xúc tiêu cực trút bỏ lên những người xung quanh, càng là người thân càng dễ gây thương tổn.Cái gì cũng nói toạc ra, cái gì cũng bộc lộ hế...",53400,89000,,35600.0,40.0,7164.0,,available,,1000,1000,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",,
109017985,8741635599269,"NẾU MỘT NGÀY ANH THẤY TÔI ĐIÊN, THỰC RA CHÍNH LÀ ANH ĐIÊN ĐẤY!Hỡi những con người đang oằn mình trong cuộc sống, bạn biết gì về thế giới của mình? Là vô vàn thứ lý thuyết được các bậc vĩ nhân kiểm ch...",107400,179000,,71600.0,40.0,5398.0,,available,,1000,1000,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",,
272530379,8118139164171,Đôi lời về bộ sách Trở thành “át chủ bài” công sở (gồm 2 cuốn Thuật lãnh đạo nơi công sở và Cách đưa bạn trở thành siêu sao nơi công sở)  Đứng trước sự thay đổi mạnh mẽ về công nghệ và lực lượng Gen...,498000,498000,,,,12.0,,available,,1000,1000,Bộ sách trở thành “ÁT CHỦ BÀI” công sở (Gồm 2 cuốn),,
271405604,8238227534863,Lịch bàn 2024 From Yourself with Love – quyển lịch self-love đầy bất ngờ thú vị sẽ cho bạn một năm sống hết lòng với chính mình.“From Yourself with Love” gồm 12 lời nhắn nhủ yêu thương từ những người...,97200,110000,,12800.0,12.0,10.0,,available,,1000,1000,"Lịch bàn 2024 SDstationery From Yourself with Love, cảm hứng phát triển bản thân, tiếng Anh, minh họa đẹp 20x24x7,5",182617.0,SDstationery
249009518,3330357542218,"Sổ planner 18 tháng của SDstationery DREAM PLANNER được thiết kế tối ưu cho việc quản lý kế hoạch của bạn:- Ô lịch rộng, nhiều không gian để ghi chú.- Bố cục thoáng, không rối mắt giúp bạn tiện theo...",39000,39000,,,,4.0,,available,,1000,1000,"Sổ kế hoạch planner 18 tháng 2023-2024 SDstationery DREAM CRAFTER 48 trang 16,5x20,5cm",8222521.0,SD stationery
271442564,2580174893192,"Sổ planner 52 tuần 2024 SDstationery TREASURE THE JOURNEY được thiết kế tối ưu cho việc lập kế hoạch và quản lý công việc của bạn.Bố cục gồm lịch tuần, lịch tháng với ô lịch rộng thoáng, dễ nhìn; tra...",132000,132000,,,,4.0,,available,,1000,1000,"Sổ planner 52 tuần 2024 SDstationery “Treasure the Journey” gáy lò xo, họa tiết màu pastel trang nhã 14x20.3cm",182617.0,SDstationery
270704495,9544946110509,"Lịch bàn 2024 THÔNG THÁI TINH KHÔN đem cả vũ trụ rộng lớn đặt lên bàn của bạn.12 trang lịch sẽ đưa bạn vào một hành trình khám phá những “bí mật” thú vị của các hành tinh, thiên thể qua những tình hu...",77760,88000,,10240.0,12.0,9.0,,available,,1000,1000,"Lịch bàn 2024 Thông Thái Tinh Khôn SDstationery, 21x16x6 cm, dễ thương vui nhộn, minh họa vũ trụ, hành tinh, hệ mặt trời",182617.0,SDstationery
174301838,5623982635450,"Động lực sẽ được nhân đôi khi đồng hành cùng bạn là những vật dụng đầy cảm hứng.“Happy Live” không chỉ là một cái tên, nó còn là thông điệp mà chúng tôi gửi gắm đến khách hàng của mình, rằng bạn xứng...",49000,49000,,,,16.0,,available,,1000,1000,BỘ BOOKMARK 1% TINH HOA,4337923.0,HappyLive
52789367,5279951395588,"Sơ lược về tác phẩmTất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người.Tiểu ...",55300,79000,,23700.0,30.0,5823.0,,available,,1000,1000,Nhà Giả Kim (Tái Bản 2020),,
69764541,9554778221279,Tâm Lý Học Hành ViCuốn sách giúp bạn thấu hiểu bản thân mình và tâm lý những người xung quanh!Được chấp bút bởi bậc thầy tâm lý hàng đầu Trung Quốc Khương Nguy.Tâm lý học theo chủ nghĩa hành vi phát...,58800,98000,,39200.0,40.0,2769.0,,available,,1000,1000,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),,
174444163,8940996830246,"“Dear, darlingNếu tình yêu có hạn sử dụng,Em mong là dùng được trăm năm.”Quay trở lại sau 2 năm vắng bóng, “Dear darling” của Hiên gửi tặng bạn những lời thủ thỉ rất đỗi dịu dàng, rất đỗi ngọt ngào...",57200,88000,,30800.0,35.0,884.0,,available,,1000,1000,"Dear, Darling",,
121635154,7794004489041,"“Những điều được định sẵn là dành cho bạn sẽ đến với bạn, ngay cả khi nó bị chôn vùi dưới hai ngọn núi. Những điều không được định sẵn là dành cho bạn sẽ không đến với bạn, ...",43200,72000,,28800.0,40.0,618.0,,available,,1000,1000,Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark),,
109515306,6781261220143,"Từ lúc ra đời đến nay, tập truyện cổ do hai anh em Jacob và Wilhelm Grimm sưu tầm đã trở thành một trong những áng văn chương được đọc nhiều nhất và có tầm ảnh hưởng rộng rãi nhất trên thế giới. Bất c...",328000,410000,,82000.0,20.0,,,available,,1000,1000,Combo 2 Cuốn: Truyện Cổ Grim 1 + 2,,
273667028,8972966885785,Bộ sách từ Cựu Thuyền trưởng Hải quân Hoa Kỳ giúp nhân viên nâng tầm tư duy và kỹ năng lãnh đạoThuyền trưởng David Marquet đã truyền cảm hứng cho nhiều doanh nghiệp tạo ra một nơi làm việc mà mọi nh...,648000,648000,,,,2.0,,available,,1000,1000,Bộ sách Nghệ Thuật Lãnh Đạo Bằng Ngôn Ngữ (Gồm 2 cuốn),,
31692405,1573634097016,"Mặt giấy láng mịn, viết êmVở kẻ ngang Haplus - Time có mặt giấy láng mịn, viết êm tay, tạo nét chữ đẹp. Giấy viết không nhòe, không thấm mực ra trang sau. Chất liệu giấy không bụi, đảm bảo sức khỏe ch...",96000,96000,,,,411.0,,available,,1000,1000,"Vở kẻ ngang Haplus - Time (80,120,200 trang - Lốc 5/10)",499125.0,Hải Tiến
193151000,9182314062218,"Thị trường chứng khoán qua bao thăng trầm vẫn thủy chung với bản tính bất định khó trị, đã khiến cho không biết bao nhiêu nhà đầu tư lao đao và chìm sâu thua lỗ. Chúng ta bắt buộc phải nhìn nhận rằng:...",599000,599000,,,,128.0,,available,,1000,1000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",,
31656174,6971118831463,"Mặt giấy láng mịn, viết êmVở kẻ ngang Haplus - Landscape có mặt giấy láng mịn, viết êm tay, tạo nét chữ đẹp. Giấy viết không nhòe, không thấm mực ra trang sau. Chất liệu giấy không bụi, đảm bảo sức kh...",100000,100000,,,,39.0,,available,,1000,1000,Vở kẻ ngang Haplus - Landscape,499125.0,Hải Tiến
147920903,1967959392540,"“Vuong thực sự có thiên tài quan sát.” The New York Times“Với một xuất thân bên rìa hết sức xa lạ, Vuong đã viết nên một tác phẩm trữ tình về quá trình tự khám phá chính mình, vừa thành thật đến choá...",94500,135000,,40500.0,30.0,1966.0,,available,,1000,1000,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,,
3954355,3044489264000,"Yêu Những Điều Không Hoàn HảoĐại đức Hae Min sinh ra và lớn lên tại Hàn Quốc. Sau khi hoàn thành bằng Thạc sĩ Tôn giáo học đối chiếu ở Đại học Havard và Tiến sĩ Tôn giáo học ở Đại học Princeton, ông ...",97300,139000,,41700.0,30.0,3897.0,,available,,1000,1000,Yêu Những Điều Không Hoàn Hảo,,
73787185,6372567555779,"“Khi chúng ta đang vươn tới những vì sao, chính bởi những thách thức đặt ra phía trước mà chúng ta có lẽ sẽ phải chung tay để ứng phó: du hành vào vũ trụ không phải với tư cách người Nga, người Trung ...",147000,210000,,63000.0,30.0,4052.0,,available,,1000,1000,Những Tù Nhân Của Địa Lý,,
117254517,7127356302308,"“Tôi sợ những cơn của mình, chúng xâm chiếm não bộ tôi, nhấn chìm lý trí của tôi, chúng phơi bày sự đau đớn, cô đơn, nỗi sầu thảm suốt những năm tháng niên thiếu của tôi, sự ám ảnh của bạo lực, của lẻ...",168000,240000,,72000.0,30.0,2345.0,,available,,1000,1000,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,,
42230121,3098193178849,"Hiểu Về Trái Tim – Cuốn Sách Mở Cửa Thề Giới Cảm Xúc Của Mỗi NgườiXuất bản lần đầu tiên vào năm 2011, Hiểu Về Trái Tim trình làng cũng lúc với kỷ lục: cuốn sách có số lượng in lần đầu lớn nhất: 100....",130500,158000,,27500.0,17.0,3620.0,,available,,1000,1000,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,,
46240929,8755420465428,"Như bạn có thể thấy, chìa khóa để trở thành một người có tư duy phản biện tốt chính là sự tự nhận thức. Bạn cần phải đánh giá trung thực những điều trước đây bạn nghĩ là đúng, cũng như quá trình suy n...",61380,99000,,37620.0,38.0,4760.0,,available,,1000,1000,Rèn Luyện Tư Duy Phản Biện,,
117238177,5673157495853,"Thắng hạng mục sách hư cấu của Goodreads.Được đưa vào danh sách tổng kết sách hay nhất năm của The Washington Post, Christian Science Monitor, New York Public Library, Boston Globe, Amazon, PureWow, ...",105000,150000,,45000.0,30.0,1844.0,,available,,1000,1000,Thư Viện Nửa Đêm,,
143217512,4078428870578,"Trong cuộc sống thường ngày, chúng ta thường nổi giận vì nhiều nguyên do: công việc không suôn sẻ, chúng ta tức giận; bị người khác hiểu nhầm, chúng ta tức giận; thấy việc chướng tai gai mắt, chúng ta...",62400,96000,,33600.0,35.0,1114.0,,available,,1000,1000,Điềm Tĩnh Và Nóng Giận,,
72882553,5206085393869,"TỰ GIÁC BAO NHIÊU, TỰ DO BẤY NHIÊUTheo bạn thì, thế nào là tự do?Là có thể nằm ườn trên ghế sô pha xem phim, ôm điện thoại lướt mạng cả ngày?Hay là được ăn thoải mái các thể loại đồ ăn nhanh, trà sữ...",67200,84000,,16800.0,20.0,101.0,,available,,1000,1000,Kỷ Luật Tự Giác (Tặng Kèm Bookmark ),,
195801653,8450740041724,"Phía Kyoto lợi dụng cơ hội giao lưu để trừ khử Itadori. Trong lúc đó, chú nguyền sư và chú linh do Mahito cầm đầu đã đột nhập vào khu vực diễn ra buổi giao lưu. Nhóm giáo viên định tới ứng cứu học sin...",24000,30000,,6000.0,20.0,792.0,,available,,1000,1000,Chú Thuật Hồi Chiến - Tập 6,,
157432544,8467218185680,"Ngữ pháp Tiếng Anh tổng hợp các chủ điểm ngữ pháp trọng yếu mà học sinh cần nắm vững. Các chủ điểm ngữ pháp được trình bày rõ ràng, chi tiết. Sau mỗi chủ điểm ngữ pháp là phần bài tập & đáp án nhằ...",147900,220000,,72100.0,33.0,1447.0,,available,,1000,1000,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),,
121635152,4626380643723,"KHÔNG AI CÓ THỂ LÀM BẠN TỔN THƯƠNG TRỪ KHI BẠN CHO PHÉP – YOO EUN JUNGChúng ta vẫn thường nghĩ mình sẽ chỉ hạnh phúc khi ở bên cạnh ai đó và nhận được yêu thương từ họ. Nhưng thực chất, hạnh phúc đơn...",71400,119000,,47600.0,40.0,1741.0,,available,,1000,1000,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),,
97594364,9485440855465,"Dịch bệnh, thiên tai, chiến tranh… có phải là lời cảnh cáo của tự nhiên đến con người?“Biến đổi khí hậu” là một nước đi chính trị hay chỉ là sự thay đổi của Trái Đất theo chu kỳ?UFO, người ngoài hàn...",189800,292000,,102200.0,35.0,6634.0,,available,,1000,1000,Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ,,
190861557,5337995399326,"Sau thành công của “Tô bình yên vẽ hạnh phúc” và “Mình chỉ là người bình thường”, chàng họa sĩ nổi tiếng đa tài Kulzsc đã quay trở lại với “Yêu những ngày nắng Chẳng ghét những ngày mưa”. Cuốn sách là...",106000,132000,,26000.0,20.0,890.0,,available,,1000,1000,Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,,
196515658,3091437735835,"Yataro Yaguchi là một học sinh xuất sắc nhưng có lối sống buông thả, không mục đích. Một ngày nọ, tận mắt chiêm ngưỡng bức tranh của một chị lớp trên ở CLB Mỹ thuật, Yataro hoàn toàn bị hút hồn và lần...",43000,48000,,5000.0,10.0,167.0,,available,,1000,1000,Blue Period - Tập 04,,
193151000,9182314062218,"Thị trường chứng khoán qua bao thăng trầm vẫn thủy chung với bản tính bất định khó trị, đã khiến cho không biết bao nhiêu nhà đầu tư lao đao và chìm sâu thua lỗ. Chúng ta bắt buộc phải nhìn nhận rằng:...",599000,599000,,,,128.0,,available,,1000,1000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",,
194959173,7372241689726,"Semantic Error – Lỗi Logic (Tập 2)“Hai chúng ta rất khác nhau nên vốn dĩ em cũng chẳng yêu thích điều gì ở anh. Nhưng khi đã thích một lần rồi, sau này sẽ không còn ghét được nữa. Từ trước đến giờ em...",168350,259000,,90650.0,35.0,642.0,,available,,1000,1000,Semantic Error – Lỗi Logic (Tập 2),,
72459686,4125558840055,"MỘT TRONG NHỮNG CUỐN SÁCH MỞ KHÓA HỮU ÍCH NHẤT VỀ TƯ DUY, KÝ ỨC VÀ CẢM XÚC CỦA CON NGƯỜI!Ám sợ là gì, ám sợ có thực sự đáng sợ không? Rối loạn tâm lý là gì, làm thế nào để thoát khỏi tình trạng suy n...",210000,300000,,90000.0,30.0,3373.0,,available,,1000,1000,How Psychology Works - Hiểu Hết Về Tâm Lý Học,,
195969664,3638425539980,"Quà: Set 3 PVC Character cards (số lượng có hạn) Nội dung: Mời các bạn thưởng thức Tokyo 卍 Revengers tập 4, phiên bản 2 trong 1 của Việt Nam (tương đương tập 7 và 8 bản Nhật), in trên giấy Bãi Bằng ...",51750,115000,,63250.0,55.0,200.0,,available,,1000,1000,Tokyo Revengers - Tập 4,,
8885999,6176117561223,"Không còn cách nào khác, mẹ đành đưa Totto-chan đến một ngôi trường mới, trường Tomoe. Đấy là một ngôi trường kỳ lạ, lớp học thì ở trong toa xe điện cũ, học sinh thì được thoả thích thay đổi chỗ ngồi ...",68600,98000,,29400.0,30.0,2055.0,,available,,1000,1000,Totto - Chan Bên Cửa Sổ (Tái Bản),,
68585576,9986522202973,"KỶ LUẬT vốn là ván cờ bạn phải tự đấu với chính mình. Thắng - bạn sẽ có được “bản năng của người mạnh mẽ nhất”, đó là sự tự kiểm soát bản thân. Thua - bạn mãi sống trong cảm giác tạm bợ, nuối tiếc. Cà...",70850,109000,,38150.0,35.0,3541.0,,available,,1000,1000,"Càng Kỷ Luật, Càng Tự Do",,
106863963,7417324116157,"TÂM LÝ HỌC TỘI PHẠM - PHÁC HỌA CHÂN DUNG KẺ PHẠM TỘITội phạm, nhất là những vụ án mạng, luôn là một chủ đề thu hút sự quan tâm của công chúng, khơi gợi sự hiếu kỳ của bất cứ ai. Một khi đã bắt đầu th...",87000,145000,,58000.0,40.0,6117.0,,available,,1000,1000,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,,
145288029,5282892978499,"Sơ lược về tác phẩm Một thời điểm rất xa trong tương lai…Từ đời này sang đời khác, người Fremen trên hành tinh sa mạc lưu truyền lời tiên tri về một đấng cứu tinh sẽ dẫn dắt họ giành lấy tự do đích t...",182000,249000,,67000.0,27.0,1200.0,,available,,1000,1000,Xứ Cát,,
111285062,4190221467193,"Đắc nhân tâm của Dale Carnegie là quyển sách nổi tiếng nhất, bán chạy nhất và có tầm ảnh hưởng nhất của mọi thời đại. Tác phẩm đã được chuyển ngữ sang hầu hết các thứ tiếng trên thế giới và có mặt ở h...",58800,86000,,27200.0,32.0,1041.0,,available,,1000,1000,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),,
85763211,2349035412093,"Cuốn sách dành cho những bạn trẻ chênh vênh và đầy hoang mang nhưng không ngừng theo đuổi sự nỗ lựcTừng được đón đọc bởi 1 triệu độc giả khắp Trung Quốc, 4 chương sách tổng hợp 50 lời khuyên chất lượ...",59400,99000,,39600.0,40.0,2465.0,,available,,1000,1000,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),,
194960721,5669654562758,"Blue Period - Tập 03Yataro Yaguchi là một học sinh xuất sắc nhưng có lối sống buông thả, không mục đích. Một ngày nọ, tận mắt chiêm ngưỡng bức tranh của một chị lớp trên ở CLB Mỹ thuật, Yataro hoàn t...",43000,48000,,5000.0,10.0,256.0,,available,,1000,1000,Blue Period - Tập 03,,
3304875,2929303348245,"Điều Kỳ Diệu Của Tiệm Tạp HóaMột đêm vội vã lẩn trốn sau phi vụ khoắng đồ nhà người, Atsuya, Shota và Kouhei đã rẽ vào lánh tạm trong một căn nhà hoang bên con dốc vắng người qua lại. Căn nhà có vẻ k...",73500,105000,,31500.0,30.0,4609.0,,available,,1000,1000,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),,
10095276,3520360597301,"IKIGAI là tập hợp nhiều câu chuyện đời, chuyện nghề giản dị, lý giải tường minh năm điều cốt lõi của ikigai –triết lý sống mang lại hạnh phúc và trường thọ của người Nhật:Bắt đầu từ những việc nhỏ nh...",63000,90000,,27000.0,30.0,696.0,,available,,1000,1000,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,,
113530805,2220872143049,"“Bạn hối tiếc vì không nắm bắt lấy một cơ hội nào đó, chẳng có ai phải mất ngủ.Bạn trải qua những ngày tháng nhạt nhẽo với công việc bạn căm ghét, người ta chẳng hề bận lòng.Bạn có chết mòn nơi xó t...",63000,90000,,27000.0,30.0,1482.0,,available,,1000,1000,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),,
168283405,6893421095594,"Thông tin tác giả:Song Hong Binh (Tống Hồng Binh) sinh năm 1968 tại Tứ Xuyên, Trung Quốc. Ông là tác giả của rất nhiều cuốn sách bán chạy, là học giả nghiên cứu tài chính thế giới và cũng là Viện trư...",111000,165000,,54000.0,33.0,724.0,,available,,1000,1000,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),,
3014291,8142774115435,"Phân biệt hàng thật/giảMáy tính CASIO FX-580VN X là sản phẩm thuộc dòng máy ClassWiz sở hữu màn hình có độ phân giải cao vượt trội, giúp người dùng có thể dễ dàng xem các công thức và biểu tượng toá...",713800,784000,,70200.0,9.0,5522.0,,available,,1000,1000,Máy Tính Khoa Học Casio FX-580VN X,26150.0,Casio
204083235,8825285835826,"Trong Cái Không Có Gì Không?Thiền sư Thích Nhất Hạnh đã giải đáp được những câu hỏi khó, ngộ nghĩnh và chân thành của các em nhỏ trong mọi lứa tuổi.Vui tươi mà sâu sắc, “Trong cái KHÔng có cái gì kh...",144000,160000,,16000.0,10.0,,,available,,1000,1000,Trong Cái Không Có Gì Không?,,
271960042,5939913959837,“Lãnh đạo có nghĩa là trao quyền kiểm soát thay vì nắm quyền kiểm soát và tạo ra những người lãnh đạo thay vì rèn giũa những người theo sau.” - David MarquetCuốn sách Xoay chuyển con tàu được xuất bả...,299000,299000,,,,,,available,,1000,1000,Xoay chuyển con tàu - Turn the Ship Around,,
273046888,4264144877182,Rất ít người trong chúng ta nhận ra rằng ngôn ngữ (phong cách giao tiếp) của mình ở nơi làm việc cản trở khả năng giải quyết vấn đề một cách sáng tạo và đôi khi làm gia tăng sự bất ổn và căng thẳng gi...,349000,349000,,,,3.0,,available,,1000,1000,Lãnh đạo là ngôn ngữ - Leadership is language,,
23416722,6101272032509,"Truyền thông ngập tràn những khám phá và những lời khuyên mới mẻ về những thứ chúng ta nạp vào cơ thể nhưng có cơ sở khoa học nào cho bất kỳ tuyên bố đó không?Với những hình minh họa rõ ràng, dễ hiểu...",210000,300000,,90000.0,30.0,1008.0,,available,,1000,1000,How The Body Works - Hiểu Hết Về Cơ Thể,,
161008715,9112392882091,"Tiến sĩ, bác sĩ tâm thần, nhà nghiên cứu nhận thức và giảng viên tâm linh nổi tiếng người Mỹ, ông David R.Hawkins (1927–2012), đã chứng minh được mối liên hệ mật thiết giữa bệnh tật của con người và n...",118140,179000,,60860.0,34.0,517.0,,available,,1000,1000,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),,
54614797,8002146664322,"RỒI MỘT NGÀY, BỐ MẸ SẼ GIÀ ĐICàng lớn lên, những quyến luyến của chúng ta đối với bố mẹ càng ít. Khi đại bàng non có thể giương cánh, nó luôn hướng tới không trung, chứ không phải rúc vào đôi cánh bố...",57600,96000,,38400.0,40.0,2398.0,,available,,1000,1000,"Có Một Ngày, Bố Mẹ Sẽ Già Đi",,
3639597,8788183623224,"Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản)Chen vai thích cánh để có một chỗ bám trên xe buýt giờ đi làm, nhích từng xentimét bánh xe trên đường lúc tan sở, quay cuồng với thi cử và tiến độ công việ...",59500,85000,,25500.0,30.0,3941.0,,available,,1000,1000,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),,
4780917,3342656016576,"Người Đua Diều (Tái Bản 2018)Câu chuyện là lời tự thuật của nhà văn người Mỹ gốc Afghanistan Amir về những năm tháng tuổi thơ đầy niềm vui cũng như lỗi lầm, về những ngày trôi dạt trên đất khách rồi ...",90300,129000,,38700.0,30.0,2560.0,,available,,1000,1000,Người Đua Diều (Tái Bản 2018),,
17336364,2144215258059,"“Việc nghĩ ra một bài toán vô cùng khó và việc giải bài toán đó, việc nào khó hơn?”Khi nhấn chuông cửa nhà nghi can chính của một vụ án mới, điều tra viên Kusanagi không biết rằng anh sắp phải đương ...",76300,109000,,32700.0,30.0,3479.0,,available,,1000,1000,Phía Sau Nghi Can X (Tái Bản 2019),,
272530379,8118139164171,Đôi lời về bộ sách Trở thành “át chủ bài” công sở (gồm 2 cuốn Thuật lãnh đạo nơi công sở và Cách đưa bạn trở thành siêu sao nơi công sở)  Đứng trước sự thay đổi mạnh mẽ về công nghệ và lực lượng Gen...,498000,498000,,,,12.0,,available,,1000,1000,Bộ sách trở thành “ÁT CHỦ BÀI” công sở (Gồm 2 cuốn),,
271405604,8238227534863,Lịch bàn 2024 From Yourself with Love – quyển lịch self-love đầy bất ngờ thú vị sẽ cho bạn một năm sống hết lòng với chính mình.“From Yourself with Love” gồm 12 lời nhắn nhủ yêu thương từ những người...,97200,110000,,12800.0,12.0,10.0,,available,,1000,1000,"Lịch bàn 2024 SDstationery From Yourself with Love, cảm hứng phát triển bản thân, tiếng Anh, minh họa đẹp 20x24x7,5",182617.0,SDstationery
249009518,3330357542218,"Sổ planner 18 tháng của SDstationery DREAM PLANNER được thiết kế tối ưu cho việc quản lý kế hoạch của bạn:- Ô lịch rộng, nhiều không gian để ghi chú.- Bố cục thoáng, không rối mắt giúp bạn tiện theo...",39000,39000,,,,4.0,,available,,1000,1000,"Sổ kế hoạch planner 18 tháng 2023-2024 SDstationery DREAM CRAFTER 48 trang 16,5x20,5cm",8222521.0,SD stationery
271442564,2580174893192,"Sổ planner 52 tuần 2024 SDstationery TREASURE THE JOURNEY được thiết kế tối ưu cho việc lập kế hoạch và quản lý công việc của bạn.Bố cục gồm lịch tuần, lịch tháng với ô lịch rộng thoáng, dễ nhìn; tra...",132000,132000,,,,4.0,,available,,1000,1000,"Sổ planner 52 tuần 2024 SDstationery “Treasure the Journey” gáy lò xo, họa tiết màu pastel trang nhã 14x20.3cm",182617.0,SDstationery
270704495,9544946110509,"Lịch bàn 2024 THÔNG THÁI TINH KHÔN đem cả vũ trụ rộng lớn đặt lên bàn của bạn.12 trang lịch sẽ đưa bạn vào một hành trình khám phá những “bí mật” thú vị của các hành tinh, thiên thể qua những tình hu...",77760,88000,,10240.0,12.0,9.0,,available,,1000,1000,"Lịch bàn 2024 Thông Thái Tinh Khôn SDstationery, 21x16x6 cm, dễ thương vui nhộn, minh họa vũ trụ, hành tinh, hệ mặt trời",182617.0,SDstationery
